,date,5
0,2004-01m,100
1,2004-02m,96
2,2004-03m,94
3,2004-04m,89
4,2004-05m,91
5,2004-06m,90
6,2004-07m,95
7,2004-08m,92
8,2004-09m,91
9,2004-10m,94
10,2004-11m,96
11,2004-12m,93
12,2005-01m,96
13,2005-02m,94
14,2005-03m,87
15,2005-04m,84
16,2005-05m,85
17,2005-06m,82
18,2005-07m,82
19,2005-08m,81
20,2005-09m,85
21,2005-10m,87
22,2005-11m,91
23,2005-12m,88
24,2006-01m,87
25,2006-02m,81
26,2006-03m,78
27,2006-04m,73
28,2006-05m,74
29,2006-06m,72
30,2006-07m,74
31,2006-08m,73
32,2006-09m,74
33,2006-10m,77
34,2006-11m,81
35,2006-12m,79
36,2007-01m,78
37,2007-02m,75
38,2007-03m,71
39,2007-04m,67
40,2007-05m,70
41,2007-06m,66
42,2007-07m,66
43,2007-08m,63
44,2007-09m,65
45,2007-10m,66
46,2007-11m,72
47,2007-12m,69
48,2008-01m,66
49,2008-02m,60
50,2008-03m,56
51,2008-04m,57
52,2008-05m,53
53,2008-06m,55
54,2008-07m,54
55,2008-08m,52
56,2008-09m,53
57,2008-10m,53
58,2008-11m,55
59,2008-12m,56
60,2009-01m,54
61,2009-02m,51
62,2009-03m,50
63,2009-04m,48
64,2009-05m,46
65,2009-06m,46
66,2009-07m,48
67,2009-08m,46
68,2009-09m,47
69,2009-10m,49
70,2009-11m,51
71,2009-12m,47
72,2010-01m,47
73,2010-02m,45
74,2010-03m,45
75,2010-04m,42
76,2010-05m,42
77,2010-06m,42
78,2010-07m,41
79,2010-08m,40
80,2010-09m,41
81,2010-10m,41
82,2010-11m,42
83,2010-12m,39
84,2011-01m,45
85,2011-02m,44
86,2011-03m,41
87,2011-04m,39
88,2011-05m,42
89,2011-06m,41
90,2011-07m,38
91,2011-08m,38
92,2011-09m,39
93,2011-10m,41
94,2011-11m,42
95,2011-12m,41
96,2012-01m,40
97,2012-02m,37
98,2012-03m,37
99,2012-04m,36
100,2012-05m,36
101,2012-06m,34
102,2012-07m,35
103,2012-08m,33
104,2012-09m,36
105,2012-10m,36
106,2012-11m,39
107,2012-12m,36
108,2013-01m,37
109,2013-02m,35
110,2013-03m,34
111,2013-04m,33
112,2013-05m,33
113,2013-06m,33
114,2013-07m,30
115,2013-08m,30
116,2013-09m,32
117,2013-10m,34
118,2013-11m,35
119,2013-12m,33
120,2014-01m,33
121,2014-02m,32
122,2014-03m,31
123,2014-04m,31
124,2014-05m,30
125,2014-06m,29
126,2014-07m,29
127,2014-08m,30
128,2014-09m,31
129,2014-10m,32
130,2014-11m,33
131,2014-12m,32
132,2015-01m,31
133,2015-02m,30
134,2015-03m,31
135,2015-04m,29
136,2015-05m,28
137,2015-06m,28
138,2015-07m,29
139,2015-08m,28
140,2015-09m,29
141,2015-10m,27
142,2015-11m,31
143,2015-12m,28
144,2016-01m,28
145,2016-02m,27
146,2016-03m,27
147,2016-04m,26
148,2016-05m,25
149,2016-06m,26
150,2016-07m,25
151,2016-08m,24
152,2016-09m,26
153,2016-10m,27
154,2016-11m,29
155,2016-12m,27
156,2017-01m,27
157,2017-02m,26
158,2017-03m,26
159,2017-04m,25
160,2017-05m,25
161,2017-06m,25
162,2017-07m,24
163,2017-08m,24
164,2017-09m,26
165,2017-10m,26
166,2017-11m,28
167,2017-12m,26
168,2018-01m,26
169,2018-02m,25
170,2018-03m,24
171,2018-04m,24
172,2018-05m,23
173,2018-06m,23
174,2018-07m,23
175,2018-08m,23
176,2018-09m,24
177,2018-10m,24
178,2018-11m,26
179,2018-12m,24
180,2019-01m,24
181,2019-02m,23
182,2019-03m,23
183,2019-04m,23
184,2019-05m,22
185,2019-06m,23
186,2019-07m,23
187,2019-08m,22
188,2019-09m,24
189,2019-10m,25
190,2019-11m,27
191,2019-12m,25
192,2020-01m,25
193,2020-02m,24
194,2020-03m,25
195,2020-04m,27
196,2020-05m,27
197,2020-06m,28
