,date,71
0,01/2004,45
1,02/2004,46
2,03/2004,44
3,04/2004,42
4,05/2004,41
5,06/2004,42
6,07/2004,44
7,08/2004,41
8,09/2004,45
9,10/2004,47
10,11/2004,52
11,12/2004,48
12,01/2005,47
13,02/2005,52
14,03/2005,47
15,04/2005,46
16,05/2005,45
17,06/2005,45
18,07/2005,45
19,08/2005,44
20,09/2005,46
21,10/2005,51
22,11/2005,54
23,12/2005,52
24,01/2006,50
25,02/2006,50
26,03/2006,49
27,04/2006,46
28,05/2006,47
29,06/2006,47
30,07/2006,47
31,08/2006,47
32,09/2006,49
33,10/2006,52
34,11/2006,54
35,12/2006,55
36,01/2007,51
37,02/2007,52
38,03/2007,49
39,04/2007,46
40,05/2007,47
41,06/2007,47
42,07/2007,48
43,08/2007,45
44,09/2007,47
45,10/2007,50
46,11/2007,52
47,12/2007,53
48,01/2008,48
49,02/2008,48
50,03/2008,46
51,04/2008,44
52,05/2008,41
53,06/2008,42
54,07/2008,43
55,08/2008,41
56,09/2008,42
57,10/2008,44
58,11/2008,47
59,12/2008,48
60,01/2009,44
61,02/2009,44
62,03/2009,42
63,04/2009,39
64,05/2009,39
65,06/2009,39
66,07/2009,41
67,08/2009,40
68,09/2009,43
69,10/2009,43
70,11/2009,46
71,12/2009,46
72,01/2010,41
73,02/2010,42
74,03/2010,40
75,04/2010,38
76,05/2010,39
77,06/2010,39
78,07/2010,40
79,08/2010,41
80,09/2010,41
81,10/2010,43
82,11/2010,45
83,12/2010,45
84,01/2011,55
85,02/2011,55
86,03/2011,52
87,04/2011,51
88,05/2011,52
89,06/2011,51
90,07/2011,52
91,08/2011,53
92,09/2011,52
93,10/2011,56
94,11/2011,60
95,12/2011,64
96,01/2012,58
97,02/2012,57
98,03/2012,52
99,04/2012,54
100,05/2012,52
101,06/2012,53
102,07/2012,51
103,08/2012,51
104,09/2012,55
105,10/2012,59
106,11/2012,59
107,12/2012,65
108,01/2013,59
109,02/2013,60
110,03/2013,60
111,04/2013,56
112,05/2013,56
113,06/2013,55
114,07/2013,54
115,08/2013,54
116,09/2013,57
117,10/2013,59
118,11/2013,63
119,12/2013,67
120,01/2014,60
121,02/2014,59
122,03/2014,58
123,04/2014,58
124,05/2014,56
125,06/2014,52
126,07/2014,54
127,08/2014,57
128,09/2014,55
129,10/2014,59
130,11/2014,62
131,12/2014,65
132,01/2015,60
133,02/2015,61
134,03/2015,59
135,04/2015,57
136,05/2015,57
137,06/2015,54
138,07/2015,56
139,08/2015,57
140,09/2015,57
141,10/2015,59
142,11/2015,61
143,12/2015,67
144,01/2016,65
145,02/2016,64
146,03/2016,62
147,04/2016,61
148,05/2016,59
149,06/2016,58
150,07/2016,59
151,08/2016,59
152,09/2016,62
153,10/2016,66
154,11/2016,66
155,12/2016,72
156,01/2017,66
157,02/2017,65
158,03/2017,62
159,04/2017,65
160,05/2017,62
161,06/2017,62
162,07/2017,64
163,08/2017,64
164,09/2017,66
165,10/2017,68
166,11/2017,68
167,12/2017,77
168,01/2018,68
169,02/2018,68
170,03/2018,68
171,04/2018,65
172,05/2018,62
173,06/2018,62
174,07/2018,62
175,08/2018,64
176,09/2018,65
177,10/2018,66
178,11/2018,68
179,12/2018,78
180,01/2019,69
181,02/2019,68
182,03/2019,68
183,04/2019,67
184,05/2019,65
185,06/2019,64
186,07/2019,65
187,08/2019,67
188,09/2019,67
189,10/2019,69
190,11/2019,72
191,12/2019,80
192,01/2020,71
193,02/2020,72
194,03/2020,80
195,04/2020,100
196,05/2020,95
197,06/2020,85
