,date,12
0,2004-01m,99
1,2004-02m,97
2,2004-03m,98
3,2004-04m,93
4,2004-05m,91
5,2004-06m,94
6,2004-07m,94
7,2004-08m,88
8,2004-09m,94
9,2004-10m,93
10,2004-11m,97
11,2004-12m,79
12,2005-01m,95
13,2005-02m,100
14,2005-03m,94
15,2005-04m,93
16,2005-05m,93
17,2005-06m,92
18,2005-07m,93
19,2005-08m,88
20,2005-09m,93
21,2005-10m,94
22,2005-11m,97
23,2005-12m,78
24,2006-01m,97
25,2006-02m,96
26,2006-03m,94
27,2006-04m,85
28,2006-05m,91
29,2006-06m,90
30,2006-07m,92
31,2006-08m,88
32,2006-09m,90
33,2006-10m,90
34,2006-11m,93
35,2006-12m,77
36,2007-01m,94
37,2007-02m,90
38,2007-03m,88
39,2007-04m,84
40,2007-05m,84
41,2007-06m,86
42,2007-07m,86
43,2007-08m,78
44,2007-09m,81
45,2007-10m,83
46,2007-11m,85
47,2007-12m,70
48,2008-01m,81
49,2008-02m,80
50,2008-03m,76
51,2008-04m,78
52,2008-05m,74
53,2008-06m,74
54,2008-07m,75
55,2008-08m,68
56,2008-09m,74
57,2008-10m,75
58,2008-11m,72
59,2008-12m,62
60,2009-01m,69
61,2009-02m,70
62,2009-03m,69
63,2009-04m,65
64,2009-05m,64
65,2009-06m,66
66,2009-07m,66
67,2009-08m,64
68,2009-09m,66
69,2009-10m,67
70,2009-11m,67
71,2009-12m,58
72,2010-01m,63
73,2010-02m,64
74,2010-03m,66
75,2010-04m,62
76,2010-05m,64
77,2010-06m,62
78,2010-07m,61
79,2010-08m,59
80,2010-09m,61
81,2010-10m,60
82,2010-11m,63
83,2010-12m,55
84,2011-01m,70
85,2011-02m,69
86,2011-03m,70
87,2011-04m,64
88,2011-05m,68
89,2011-06m,68
90,2011-07m,66
91,2011-08m,64
92,2011-09m,66
93,2011-10m,67
94,2011-11m,69
95,2011-12m,61
96,2012-01m,68
97,2012-02m,66
98,2012-03m,64
99,2012-04m,63
100,2012-05m,64
101,2012-06m,59
102,2012-07m,62
103,2012-08m,59
104,2012-09m,62
105,2012-10m,65
106,2012-11m,65
107,2012-12m,57
108,2013-01m,62
109,2013-02m,62
110,2013-03m,61
111,2013-04m,62
112,2013-05m,61
113,2013-06m,58
114,2013-07m,58
115,2013-08m,55
116,2013-09m,58
117,2013-10m,60
118,2013-11m,61
119,2013-12m,54
120,2014-01m,60
121,2014-02m,60
122,2014-03m,59
123,2014-04m,58
124,2014-05m,57
125,2014-06m,56
126,2014-07m,57
127,2014-08m,56
128,2014-09m,57
129,2014-10m,59
130,2014-11m,58
131,2014-12m,53
132,2015-01m,58
133,2015-02m,58
134,2015-03m,58
135,2015-04m,55
136,2015-05m,55
137,2015-06m,56
138,2015-07m,57
139,2015-08m,54
140,2015-09m,53
141,2015-10m,54
142,2015-11m,55
143,2015-12m,51
144,2016-01m,56
145,2016-02m,58
146,2016-03m,56
147,2016-04m,56
148,2016-05m,55
149,2016-06m,54
150,2016-07m,53
151,2016-08m,52
152,2016-09m,54
153,2016-10m,54
154,2016-11m,57
155,2016-12m,51
156,2017-01m,56
157,2017-02m,55
158,2017-03m,55
159,2017-04m,53
160,2017-05m,55
161,2017-06m,54
162,2017-07m,54
163,2017-08m,53
164,2017-09m,56
165,2017-10m,57
166,2017-11m,56
167,2017-12m,51
168,2018-01m,55
169,2018-02m,56
170,2018-03m,55
171,2018-04m,54
172,2018-05m,55
173,2018-06m,53
174,2018-07m,54
175,2018-08m,52
176,2018-09m,52
177,2018-10m,54
178,2018-11m,55
179,2018-12m,50
180,2019-01m,54
181,2019-02m,55
182,2019-03m,54
183,2019-04m,55
184,2019-05m,54
185,2019-06m,54
186,2019-07m,54
187,2019-08m,55
188,2019-09m,55
189,2019-10m,55
190,2019-11m,58
191,2019-12m,54
192,2020-01m,57
193,2020-02m,57
194,2020-03m,64
195,2020-04m,65
196,2020-05m,65
197,2020-06m,68
