,date,13
0,2004-01m,88
1,2004-02m,86
2,2004-03m,85
3,2004-04m,85
4,2004-05m,80
5,2004-06m,83
6,2004-07m,88
7,2004-08m,82
8,2004-09m,86
9,2004-10m,90
10,2004-11m,91
11,2004-12m,89
12,2005-01m,96
13,2005-02m,99
14,2005-03m,92
15,2005-04m,93
16,2005-05m,93
17,2005-06m,90
18,2005-07m,93
19,2005-08m,90
20,2005-09m,95
21,2005-10m,97
22,2005-11m,98
23,2005-12m,92
24,2006-01m,98
25,2006-02m,93
26,2006-03m,94
27,2006-04m,90
28,2006-05m,95
29,2006-06m,95
30,2006-07m,100
31,2006-08m,97
32,2006-09m,97
33,2006-10m,97
34,2006-11m,98
35,2006-12m,91
36,2007-01m,98
37,2007-02m,96
38,2007-03m,93
39,2007-04m,86
40,2007-05m,89
41,2007-06m,89
42,2007-07m,92
43,2007-08m,84
44,2007-09m,87
45,2007-10m,87
46,2007-11m,94
47,2007-12m,82
48,2008-01m,84
49,2008-02m,82
50,2008-03m,78
51,2008-04m,77
52,2008-05m,74
53,2008-06m,79
54,2008-07m,80
55,2008-08m,76
56,2008-09m,79
57,2008-10m,79
58,2008-11m,80
59,2008-12m,76
60,2009-01m,80
61,2009-02m,80
62,2009-03m,77
63,2009-04m,75
64,2009-05m,77
65,2009-06m,81
66,2009-07m,84
67,2009-08m,82
68,2009-09m,83
69,2009-10m,81
70,2009-11m,84
71,2009-12m,77
72,2010-01m,80
73,2010-02m,80
74,2010-03m,77
75,2010-04m,76
76,2010-05m,76
77,2010-06m,83
78,2010-07m,85
79,2010-08m,78
80,2010-09m,77
81,2010-10m,76
82,2010-11m,77
83,2010-12m,73
84,2011-01m,89
85,2011-02m,87
86,2011-03m,82
87,2011-04m,82
88,2011-05m,83
89,2011-06m,84
90,2011-07m,82
91,2011-08m,81
92,2011-09m,80
93,2011-10m,86
94,2011-11m,80
95,2011-12m,77
96,2012-01m,81
97,2012-02m,78
98,2012-03m,73
99,2012-04m,74
100,2012-05m,72
101,2012-06m,71
102,2012-07m,73
103,2012-08m,70
104,2012-09m,79
105,2012-10m,78
106,2012-11m,78
107,2012-12m,75
108,2013-01m,77
109,2013-02m,72
110,2013-03m,71
111,2013-04m,71
112,2013-05m,69
113,2013-06m,68
114,2013-07m,67
115,2013-08m,64
116,2013-09m,68
117,2013-10m,66
118,2013-11m,66
119,2013-12m,62
120,2014-01m,62
121,2014-02m,61
122,2014-03m,57
123,2014-04m,56
124,2014-05m,55
125,2014-06m,55
126,2014-07m,57
127,2014-08m,57
128,2014-09m,64
129,2014-10m,57
130,2014-11m,55
131,2014-12m,52
132,2015-01m,54
133,2015-02m,51
134,2015-03m,50
135,2015-04m,48
136,2015-05m,47
137,2015-06m,49
138,2015-07m,49
139,2015-08m,47
140,2015-09m,49
141,2015-10m,47
142,2015-11m,49
143,2015-12m,45
144,2016-01m,47
145,2016-02m,45
146,2016-03m,43
147,2016-04m,43
148,2016-05m,41
149,2016-06m,43
150,2016-07m,44
151,2016-08m,43
152,2016-09m,47
153,2016-10m,44
154,2016-11m,45
155,2016-12m,41
156,2017-01m,43
157,2017-02m,41
158,2017-03m,40
159,2017-04m,39
160,2017-05m,40
161,2017-06m,40
162,2017-07m,40
163,2017-08m,40
164,2017-09m,43
165,2017-10m,42
166,2017-11m,41
167,2017-12m,39
168,2018-01m,40
169,2018-02m,38
170,2018-03m,38
171,2018-04m,36
172,2018-05m,36
173,2018-06m,35
174,2018-07m,36
175,2018-08m,35
176,2018-09m,37
177,2018-10m,36
178,2018-11m,38
179,2018-12m,36
180,2019-01m,35
181,2019-02m,34
182,2019-03m,34
183,2019-04m,33
184,2019-05m,33
185,2019-06m,34
186,2019-07m,35
187,2019-08m,34
188,2019-09m,36
189,2019-10m,36
190,2019-11m,37
191,2019-12m,34
192,2020-01m,35
193,2020-02m,35
194,2020-03m,37
195,2020-04m,37
196,2020-05m,39
197,2020-06m,39
