,date,18
0,2004-01m,71
1,2004-02m,67
2,2004-03m,69
3,2004-04m,66
4,2004-05m,67
5,2004-06m,70
6,2004-07m,72
7,2004-08m,70
8,2004-09m,70
9,2004-10m,75
10,2004-11m,86
11,2004-12m,87
12,2005-01m,76
13,2005-02m,77
14,2005-03m,75
15,2005-04m,74
16,2005-05m,76
17,2005-06m,75
18,2005-07m,78
19,2005-08m,76
20,2005-09m,79
21,2005-10m,83
22,2005-11m,96
23,2005-12m,97
24,2006-01m,83
25,2006-02m,77
26,2006-03m,75
27,2006-04m,75
28,2006-05m,77
29,2006-06m,76
30,2006-07m,80
31,2006-08m,80
32,2006-09m,78
33,2006-10m,83
34,2006-11m,94
35,2006-12m,100
36,2007-01m,82
37,2007-02m,79
38,2007-03m,76
39,2007-04m,76
40,2007-05m,77
41,2007-06m,77
42,2007-07m,79
43,2007-08m,73
44,2007-09m,74
45,2007-10m,78
46,2007-11m,90
47,2007-12m,93
48,2008-01m,76
49,2008-02m,70
50,2008-03m,68
51,2008-04m,68
52,2008-05m,65
53,2008-06m,66
54,2008-07m,67
55,2008-08m,65
56,2008-09m,63
57,2008-10m,67
58,2008-11m,75
59,2008-12m,81
60,2009-01m,66
61,2009-02m,61
62,2009-03m,58
63,2009-04m,57
64,2009-05m,58
65,2009-06m,58
66,2009-07m,60
67,2009-08m,59
68,2009-09m,58
69,2009-10m,61
70,2009-11m,68
71,2009-12m,68
72,2010-01m,56
73,2010-02m,54
74,2010-03m,54
75,2010-04m,52
76,2010-05m,53
77,2010-06m,53
78,2010-07m,55
79,2010-08m,53
80,2010-09m,54
81,2010-10m,55
82,2010-11m,62
83,2010-12m,63
84,2011-01m,68
85,2011-02m,65
86,2011-03m,62
87,2011-04m,62
88,2011-05m,66
89,2011-06m,65
90,2011-07m,63
91,2011-08m,64
92,2011-09m,63
93,2011-10m,67
94,2011-11m,79
95,2011-12m,82
96,2012-01m,65
97,2012-02m,62
98,2012-03m,60
99,2012-04m,62
100,2012-05m,62
101,2012-06m,61
102,2012-07m,62
103,2012-08m,61
104,2012-09m,64
105,2012-10m,66
106,2012-11m,74
107,2012-12m,81
108,2013-01m,64
109,2013-02m,60
110,2013-03m,60
111,2013-04m,60
112,2013-05m,60
113,2013-06m,60
114,2013-07m,59
115,2013-08m,59
116,2013-09m,61
117,2013-10m,62
118,2013-11m,73
119,2013-12m,75
120,2014-01m,60
121,2014-02m,56
122,2014-03m,56
123,2014-04m,55
124,2014-05m,57
125,2014-06m,56
126,2014-07m,56
127,2014-08m,57
128,2014-09m,55
129,2014-10m,60
130,2014-11m,72
131,2014-12m,72
132,2015-01m,56
133,2015-02m,54
134,2015-03m,53
135,2015-04m,52
136,2015-05m,54
137,2015-06m,54
138,2015-07m,54
139,2015-08m,53
140,2015-09m,53
141,2015-10m,56
142,2015-11m,68
143,2015-12m,66
144,2016-01m,54
145,2016-02m,52
146,2016-03m,51
147,2016-04m,52
148,2016-05m,52
149,2016-06m,52
150,2016-07m,53
151,2016-08m,51
152,2016-09m,53
153,2016-10m,57
154,2016-11m,69
155,2016-12m,67
156,2017-01m,53
157,2017-02m,50
158,2017-03m,51
159,2017-04m,52
160,2017-05m,52
161,2017-06m,53
162,2017-07m,55
163,2017-08m,53
164,2017-09m,55
165,2017-10m,58
166,2017-11m,70
167,2017-12m,68
168,2018-01m,53
169,2018-02m,50
170,2018-03m,51
171,2018-04m,50
172,2018-05m,49
173,2018-06m,51
174,2018-07m,52
175,2018-08m,50
176,2018-09m,50
177,2018-10m,52
178,2018-11m,65
179,2018-12m,65
180,2019-01m,50
181,2019-02m,48
182,2019-03m,49
183,2019-04m,49
184,2019-05m,50
185,2019-06m,52
186,2019-07m,51
187,2019-08m,50
188,2019-09m,50
189,2019-10m,54
190,2019-11m,67
191,2019-12m,64
192,2020-01m,50
193,2020-02m,48
194,2020-03m,44
195,2020-04m,51
196,2020-05m,57
197,2020-06m,58
