date,50,65,68,71,74,89,123,124,138,179,203,249,263,270,273,276,361,364,378,382,404,405,406,465,466,467,472,560,573,646,658,882,906,907,908,909,951,1150,1190,1191,1269,1292,1293,1349
2006-06,81,92,70,47,91,91,78,67,80,78,80,100,91,60,87,71,63,42,90,81,65,60,46,83,80,86,59,68,71,86,74,72,68,18,46,31,68,74,70,81,82,49,76,45
2006-07,89,97,71,48,74,97,75,69,86,89,92,98,100,68,88,75,67,49,96,84,62,62,48,97,85,99,61,73,81,87,90,74,63,17,47,33,75,78,76,94,79,53,88,44
2006-08,85,96,70,47,71,94,70,70,81,89,100,94,89,79,82,77,70,44,97,84,58,64,47,96,93,96,62,65,74,81,82,76,58,19,47,35,81,81,57,85,77,60,95,36
2006-09,84,94,70,50,96,90,70,70,80,79,86,79,86,75,78,78,68,43,92,82,57,63,47,87,86,90,63,70,71,80,86,76,60,20,58,34,77,79,73,82,76,59,85,36
2006-10,77,91,78,52,90,88,82,75,78,74,75,68,77,81,72,82,69,54,75,81,55,64,44,75,81,80,61,72,69,82,80,76,70,21,53,35,79,73,73,71,70,60,90,37
2006-11,80,92,84,54,91,87,98,92,78,64,65,72,76,80,68,89,80,69,70,84,60,77,50,70,74,70,59,76,78,85,83,74,76,22,52,38,88,76,72,67,73,74,89,36
2006-12,75,93,81,56,67,84,79,100,64,50,63,51,72,73,58,78,88,44,57,81,54,100,59,55,51,57,50,72,88,73,62,65,72,20,44,49,84,87,55,62,61,78,77,24
2007-01,83,86,71,50,94,86,81,77,78,79,88,77,73,88,67,77,78,42,94,81,54,59,46,81,100,84,61,72,70,82,85,78,61,20,53,37,85,74,75,65,70,68,90,36
2007-02,81,87,70,53,87,88,80,71,82,74,77,71,74,76,70,84,65,47,88,75,56,59,42,75,90,83,62,69,64,86,81,73,70,23,50,38,76,73,73,64,69,58,79,34
2007-03,76,84,68,49,90,87,78,65,79,71,72,72,74,70,76,76,63,42,78,74,55,57,41,72,83,79,60,69,64,80,75,73,68,21,48,35,71,71,68,69,67,52,73,35
2007-04,73,85,70,46,77,85,72,63,77,68,72,64,87,66,84,71,59,42,78,71,59,54,39,74,82,78,63,62,62,81,69,71,62,18,43,33,67,68,61,83,64,51,76,33
2007-05,75,86,73,47,88,85,77,68,80,72,73,67,84,67,83,75,60,40,80,72,54,56,40,74,81,74,56,66,67,82,70,72,60,20,46,34,69,69,66,80,67,57,76,34
2007-06,78,88,72,47,85,86,99,67,79,72,77,74,85,64,84,78,58,41,82,74,57,56,43,78,79,79,59,67,69,78,71,71,56,20,46,34,68,72,62,78,66,52,73,33
2007-07,85,88,69,48,70,87,80,68,78,79,86,76,88,71,76,75,60,43,91,75,56,60,43,82,86,84,60,70,71,77,76,74,56,20,43,35,70,78,60,83,62,49,82,35
2007-08,75,83,65,45,63,82,61,65,75,75,77,65,84,68,75,71,55,45,85,71,53,55,42,76,79,79,54,58,63,73,66,71,50,18,42,33,67,71,57,78,62,48,74,28
2007-09,77,80,69,47,85,78,65,65,72,67,71,57,81,68,71,74,57,54,77,71,50,53,40,68,76,76,54,57,58,72,64,69,67,20,48,35,67,66,56,77,57,53,73,28
2007-10,78,79,73,50,82,75,66,68,73,63,67,58,72,72,65,77,58,43,70,74,56,57,42,60,68,68,55,59,58,76,76,71,68,22,46,35,70,79,63,68,58,54,77,29
2007-11,74,80,80,53,84,76,69,83,69,54,57,57,70,73,61,82,65,45,64,83,55,67,44,57,62,61,52,64,69,77,71,68,71,21,45,37,77,72,66,65,63,64,93,30
2007-12,68,80,80,53,62,73,64,91,58,42,51,44,67,66,54,73,74,41,50,73,49,79,52,42,46,47,45,59,75,65,55,58,68,20,40,48,78,81,53,59,51,72,100,22
2008-01,68,77,68,49,83,74,64,69,74,66,73,63,66,76,61,77,62,51,84,68,49,51,38,64,76,70,57,59,56,76,79,72,52,19,46,39,74,67,65,60,56,58,85,28
2008-02,68,79,64,48,77,73,61,64,75,62,64,65,64,63,64,78,52,58,71,64,46,50,35,61,72,68,54,57,52,74,82,66,59,22,43,38,64,63,58,58,54,51,66,28
2008-03,67,75,63,45,74,72,61,59,73,56,62,59,65,62,67,69,52,43,68,62,46,47,35,61,65,68,53,54,51,69,71,67,67,22,41,34,63,61,51,59,57,51,68,27
2008-04,67,72,64,44,75,70,60,58,72,57,61,63,67,58,67,69,48,41,71,62,48,48,34,59,72,62,54,56,50,74,74,66,52,20,41,32,59,65,60,63,58,50,63,28
2008-05,65,73,63,42,76,69,60,56,69,56,59,59,74,52,72,66,45,43,66,59,48,46,35,53,54,59,52,55,50,67,71,62,49,19,39,31,54,60,55,71,53,44,59,27
2008-06,65,74,64,43,73,70,60,60,67,56,61,67,77,52,73,66,46,42,69,64,50,48,35,56,57,59,51,52,52,71,76,64,49,20,41,32,56,62,48,73,60,46,60,30
2008-07,68,74,62,43,61,69,60,61,65,58,64,70,74,53,66,67,46,38,72,70,49,50,35,57,56,60,50,56,53,70,93,64,46,20,40,33,56,66,49,72,57,45,62,26
2008-08,61,74,62,42,57,66,53,58,62,56,58,62,73,54,66,64,46,49,69,68,43,46,35,51,49,58,51,50,49,67,82,65,43,19,38,31,57,60,49,71,49,46,62,22
2008-09,61,70,63,42,77,62,59,58,65,51,54,62,69,56,63,64,46,54,65,67,43,45,33,52,55,57,51,52,45,65,85,64,48,21,42,31,55,61,51,67,45,46,58,23
2008-10,59,67,68,45,73,59,64,59,61,46,47,58,62,56,57,68,47,40,57,68,44,47,34,45,55,50,48,53,45,70,83,63,49,22,42,33,57,62,52,60,48,47,57,24
2008-11,56,67,72,47,74,59,58,71,58,39,42,54,58,59,51,69,53,41,53,71,44,54,37,41,65,45,45,58,52,69,82,58,55,22,38,34,62,59,56,53,44,53,63,23
2008-12,55,70,73,48,56,59,55,76,52,32,36,47,56,54,45,61,61,40,43,67,41,61,45,33,50,40,40,55,57,64,61,53,53,21,34,47,62,68,48,51,37,63,61,17
2009-01,56,67,63,44,76,60,57,61,62,48,51,62,56,62,51,66,53,44,68,65,44,43,34,51,64,55,50,54,47,68,79,62,47,20,38,36,63,59,51,53,41,56,64,24
2009-02,62,65,61,44,79,61,57,55,63,44,48,59,53,52,52,65,47,40,60,65,42,43,31,46,59,50,46,51,42,67,76,58,55,23,37,36,55,56,52,50,40,49,55,22
2009-03,53,67,59,42,71,60,57,53,64,44,45,67,59,50,59,60,43,44,58,64,44,41,30,46,54,51,50,52,42,68,73,60,52,23,39,33,52,55,52,56,46,44,53,23
2009-04,52,66,57,40,64,60,54,48,60,43,43,61,63,48,59,56,40,43,53,61,40,40,29,45,49,48,47,49,40,69,60,56,50,21,36,32,50,55,50,64,43,41,51,21
2009-05,52,68,60,39,71,60,54,51,59,44,44,59,65,48,61,58,41,50,56,63,40,42,30,44,45,47,47,51,41,65,61,56,42,21,37,31,48,54,45,63,44,40,52,20
2009-06,60,66,59,40,71,60,52,52,61,45,48,63,67,46,62,56,39,38,58,69,39,42,32,49,48,50,46,52,42,68,64,58,42,20,40,31,48,58,47,66,42,40,52,22
2009-07,58,69,60,41,62,63,52,55,65,50,51,72,70,52,59,60,41,42,61,72,44,41,34,52,47,54,51,53,44,72,66,60,43,22,42,32,53,61,41,70,47,41,57,20
2009-08,55,67,60,41,56,61,51,54,62,48,49,65,66,54,57,58,39,44,63,69,39,41,34,49,45,51,48,49,42,68,65,60,40,22,46,32,55,59,42,66,45,42,60,18
2009-09,55,64,61,42,75,58,53,54,62,43,45,59,63,54,56,58,40,44,61,66,39,41,32,47,45,51,48,51,40,67,70,60,43,23,46,34,51,62,42,62,42,43,57,20
2009-10,53,64,67,44,70,57,54,54,57,40,41,57,57,57,51,64,41,40,54,71,37,41,33,42,41,45,46,51,40,69,72,58,45,24,43,35,53,62,42,56,42,45,59,20
2009-11,52,65,71,46,73,55,55,65,57,34,36,59,55,58,44,61,48,49,52,73,39,47,39,40,38,42,46,56,45,70,72,57,50,23,40,37,57,62,43,51,47,51,59,20
2009-12,53,65,71,46,56,53,47,71,48,28,35,46,47,49,38,54,51,41,40,66,35,53,47,32,28,35,39,51,47,61,57,48,51,23,35,50,55,70,35,44,36,56,55,16
2010-01,54,60,60,42,87,57,50,55,60,40,46,60,48,56,41,56,44,45,63,67,34,37,31,41,42,48,46,51,39,67,70,57,40,22,37,37,56,62,43,42,41,49,55,20
2010-02,50,63,57,42,69,57,50,53,62,40,40,58,47,52,45,59,40,52,60,64,34,37,29,41,44,49,47,51,37,69,72,55,45,25,38,35,52,58,41,44,40,43,53,20
2010-03,52,62,59,41,69,57,55,49,64,38,40,62,52,49,50,57,38,42,57,62,36,37,30,42,42,48,50,53,37,71,71,56,47,25,39,35,50,61,45,50,49,42,50,21
2010-04,50,60,57,38,59,56,49,45,59,37,49,59,56,45,50,53,35,46,54,61,35,35,29,40,40,47,48,49,35,68,61,52,40,22,37,35,46,58,35,55,45,38,48,18
2010-05,49,60,59,40,67,56,52,47,61,37,44,60,59,44,52,54,36,46,55,62,35,36,31,39,40,47,47,51,37,69,60,54,40,23,39,34,47,55,39,57,46,38,48,17
2010-06,51,58,57,39,66,54,50,48,59,38,39,61,59,42,51,53,33,39,56,70,40,37,31,39,40,49,45,50,36,67,61,52,38,22,38,32,44,58,36,56,45,36,47,18
2010-07,52,65,58,41,56,58,53,51,62,43,44,63,66,47,51,58,35,45,60,74,39,39,33,42,40,51,49,51,38,71,60,58,39,24,43,36,49,57,40,65,43,39,53,18
2010-08,49,62,55,42,50,54,51,50,60,42,40,60,61,47,49,57,35,42,60,72,37,37,36,40,36,48,46,49,36,69,59,58,38,25,45,35,50,54,37,59,41,41,52,17
2010-09,51,59,57,42,65,52,55,49,57,39,37,57,55,46,46,56,36,41,57,68,36,38,32,39,35,47,45,49,36,69,61,54,39,25,47,35,48,56,40,54,39,41,50,17
2010-10,50,59,61,44,62,50,56,48,56,34,34,53,50,48,41,58,35,56,48,67,35,37,33,32,32,42,43,50,35,68,61,53,42,26,44,38,49,54,37,48,40,44,50,16
2010-11,51,59,68,45,66,54,51,60,55,31,31,53,47,50,37,58,41,47,46,66,37,44,38,32,31,40,44,55,37,72,70,52,47,26,40,39,54,58,43,42,40,52,52,17
2010-12,55,58,66,46,53,49,48,63,47,25,38,44,41,42,32,50,41,46,35,64,33,49,46,27,23,30,37,48,39,64,52,44,45,26,36,51,50,78,31,35,34,55,47,17
2011-01,57,67,73,55,71,58,76,65,71,46,47,49,57,65,44,72,47,56,76,78,43,42,39,47,47,65,55,61,43,75,72,68,46,29,45,49,64,68,38,52,40,61,60,21
2011-02,55,69,70,55,61,57,67,62,75,44,42,49,56,57,45,75,43,56,69,74,43,42,38,47,47,62,56,60,40,72,79,64,50,35,45,48,60,62,39,53,40,54,55,21
